language,missing_count,missing_samples
de,420,admin.adjust.asset; admin.adjust.execute; admin.adjust.fail_count; admin.adjust.insufficient; admin.adjust.note; admin.adjust.preview; admin.adjust.success_count; admin.adjust.title; admin.adjust.users; admin.approvals; admin.approvals.approve; admin.approvals.need_two_admins; admin.approvals.reject; admin.approvals.title; admin.audit
es,421,admin.adjust.asset; admin.adjust.execute; admin.adjust.fail_count; admin.adjust.insufficient; admin.adjust.note; admin.adjust.preview; admin.adjust.success_count; admin.adjust.title; admin.adjust.users; admin.approvals; admin.approvals.approve; admin.approvals.need_two_admins; admin.approvals.reject; admin.approvals.title; admin.audit
fil,903,admin; admin.adjust; admin.adjust.amount; admin.adjust.amount.ask_fx; admin.adjust.amount.ask_point; admin.adjust.amount.hint_fx; admin.adjust.ask_user; admin.adjust.asset; admin.adjust.balance_after; admin.adjust.button; admin.adjust.cancelled; admin.adjust.choose_asset; admin.adjust.confirm; admin.adjust.confirm.amount; admin.adjust.confirm.asset
fr,419,admin.adjust.asset; admin.adjust.execute; admin.adjust.fail_count; admin.adjust.insufficient; admin.adjust.note; admin.adjust.preview; admin.adjust.success_count; admin.adjust.title; admin.adjust.users; admin.approvals; admin.approvals.approve; admin.approvals.need_two_admins; admin.approvals.reject; admin.approvals.title; admin.audit
hi,421,admin.adjust.asset; admin.adjust.execute; admin.adjust.fail_count; admin.adjust.insufficient; admin.adjust.note; admin.adjust.preview; admin.adjust.success_count; admin.adjust.title; admin.adjust.users; admin.approvals; admin.approvals.approve; admin.approvals.need_two_admins; admin.approvals.reject; admin.approvals.title; admin.audit
id,903,admin; admin.adjust; admin.adjust.amount; admin.adjust.amount.ask_fx; admin.adjust.amount.ask_point; admin.adjust.amount.hint_fx; admin.adjust.ask_user; admin.adjust.asset; admin.adjust.balance_after; admin.adjust.button; admin.adjust.cancelled; admin.adjust.choose_asset; admin.adjust.confirm; admin.adjust.confirm.amount; admin.adjust.confirm.asset
ms,903,admin; admin.adjust; admin.adjust.amount; admin.adjust.amount.ask_fx; admin.adjust.amount.ask_point; admin.adjust.amount.hint_fx; admin.adjust.ask_user; admin.adjust.asset; admin.adjust.balance_after; admin.adjust.button; admin.adjust.cancelled; admin.adjust.choose_asset; admin.adjust.confirm; admin.adjust.confirm.amount; admin.adjust.confirm.asset
pt,903,admin; admin.adjust; admin.adjust.amount; admin.adjust.amount.ask_fx; admin.adjust.amount.ask_point; admin.adjust.amount.hint_fx; admin.adjust.ask_user; admin.adjust.asset; admin.adjust.balance_after; admin.adjust.button; admin.adjust.cancelled; admin.adjust.choose_asset; admin.adjust.confirm; admin.adjust.confirm.amount; admin.adjust.confirm.asset
th,713,admin; admin.adjust; admin.adjust.amount; admin.adjust.amount.ask_fx; admin.adjust.amount.ask_point; admin.adjust.amount.hint_fx; admin.adjust.ask_user; admin.adjust.asset; admin.adjust.balance_after; admin.adjust.button; admin.adjust.cancelled; admin.adjust.choose_asset; admin.adjust.confirm; admin.adjust.confirm.amount; admin.adjust.confirm.asset
vi,578,admin.adjust.asset; admin.adjust.execute; admin.adjust.fail_count; admin.adjust.insufficient; admin.adjust.note; admin.adjust.preview; admin.adjust.success_count; admin.adjust.title; admin.adjust.users; admin.approvals; admin.approvals.approve; admin.approvals.need_two_admins; admin.approvals.reject; admin.approvals.title; admin.audit
zh,30,"admin.covers.copy_fail_hint.Possible reasons; admin.covers.preview_fail_hint.Possible reasons; balance.template.⭐ Points; balance.template.🎯 Current token; balance.template.🧾 Pending charge; balance_card.template.⭐ Points; balance_card.template.🎯 Current token; balance_card.template.🧾 Pending charge; env.loc.pick_tip.• Example 1; env.loc.pick_tip.• Example 2; env.loc.pick_tip.• Example 3; env.loc.pick_tip.ℹ️ Tip; env.memo.ask.• Example; env.tg.parse_fail.Send one of the following; env.tg.parse_fail.• Message link, e.g., https"
